2021-10-11 09:36:18.519 [main] INFO  com.example.zrf.ElkDemoApplication - Starting ElkDemoApplication on runfamac with PID 31176 (/Users/runfa/Documents/program/SpringCloud/springclouddemo/elk-demo/target/classes started by runfa in /Users/runfa/Documents/program/SpringCloud/springclouddemo)
2021-10-11 09:36:18.530 [main] INFO  com.example.zrf.ElkDemoApplication - The following profiles are active: dev
2021-10-11 09:36:19.491 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2021-10-11 09:36:19.623 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 124ms. Found 1 Elasticsearch repository interfaces.
2021-10-11 09:36:19.636 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2021-10-11 09:36:19.644 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5ms. Found 0 Reactive Elasticsearch repository interfaces.
2021-10-11 09:36:20.121 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-10-11 09:36:20.129 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-10-11 09:36:20.129 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-10-11 09:36:20.129 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2021-10-11 09:36:20.196 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-10-11 09:36:20.197 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1603 ms
2021-10-11 09:36:20.937 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.0.RELEASE
2021-10-11 09:36:20.939 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2021-10-11 09:36:20.939 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
2021-10-11 09:36:21.349 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
